Journal Title,ISSN,ESSN,RoMEO Record ID,Updated
"Open Electrochemistry Journal",,1876-505X,1419,2013-01-28
"Open Emergency Medicine Journal",,1876-5424,1419,2013-01-28
"Open Endocrinology Journal",,1874-2165,1419,2013-01-28
"Open Entomology Journal",,1874-4079,1419,2013-01-28
"Open Environmental and Biological Monitoring Journal",,1875-0400,1419,2013-01-28
"Open Environmental Engineering Journal",,1874-8295,1419,2013-01-28
"Open Environmental Pollution and Toxicology Journal",,1876-3979,1419,2013-01-28
"Open Environmental Sciences",,1876-3251,1419,2013-01-28
"Open Enzyme Inhibition Journal",,1874-9402,1419,2013-01-28
"Open Epidemiology Journal",,1874-2971,1419,2013-01-28
"Open Ethics Journal",,1874-7612,1419,2013-01-28
"Open Evolution Journal",,1874-4044,1419,2013-01-28
"Open Family Studies Journal",,1874-9224,1419,2013-01-28
"Open Fish Science Journal",,1874-401X,1419,2013-01-28
"Open Food Science Journal",,1874-2564,1419,2013-01-29
"Open Forensic Science Journal",,1874-4028,1419,2013-01-29
"Open Forest Science Journal",,1874-3986,1419,2013-01-29
"Open Gastroenterology Journal",,1874-2599,1419,2013-01-29
"Open Gene Therapy Journal",,1875-0370,1419,2013-01-29
"Open General and Internal Medicine Journal",,1874-0766,1419,2013-01-29
"Open Genomics Journal",,1875-693X,1419,2013-01-29
"Open Geography Journal",,1874-9232,1419,2013-01-29
"Open Geriatric Medicine Journal",,1874-8279,1419,2013-01-29
"Open Glycoscience",,1875-3981,1419,2013-01-28
"Open Health Services and Policy Journal",,1874-9240,1419,2013-01-29
"Open Heart",,2053-3624,1229,2014-06-02
"Open Heart Failure Journal",,1876-5351,1419,2013-01-28
"Open Hematology Journal",,1874-2769,1419,2013-01-29
"Open Hepatology Journal",,1876-5173,1419,2013-01-29
"Open Horticulture Journal",,1874-8406,1419,2013-01-30
"Open House International",0168-2601,,949,2011-02-11
"Open Hydrology Journal",,1874-3781,1419,2013-01-30
"Open Hypertension Journal",,1876-5262,1419,2013-01-30
"Open Immunology Journal",,1874-2262,1419,2013-01-30
"Open Industrial and Manufacturing Engineering Journal",,1874-1525,1419,2013-01-30
"Open Infectious Diseases Journal",,1874-2793,1419,2013-01-30
"Open Inflammation Journal",,1875-0419,1419,2013-01-30
"Open Information Science Journal",,1874-947X,1419,2013-01-30
"Open Information Systems Journal",,1874-1339,1419,2013-01-30
"Open Inorganic Chemistry Journal",,1874-0987,1419,2013-01-30
"Open Journal of Accounting",2169-3404,2169-3412,1018,2013-11-15
"Open Journal of Air Pollution",2169-2653,2169-2661,1018,2013-11-15
"Open Journal of Animal Sciences",2161-7597,2161-7627,1018,2013-11-15
"Open Journal of Apoptosis",2168-3832,2168-3840,1018,2013-11-15
"Open Journal of Applied Biosensor",2168-5401,2168-5398,1018,2013-11-15
"Open Journal of Applied Sciences",2165-3917,2165-3925,1018,2013-11-15
"Open Journal of Archaeometry",2038-1956,,644,2013-08-07
"Open Journal of Bioresources",,2056-5542,1132,2014-08-01
"Open Journal of Cardiovascular Surgery",,1179-0652,163,2014-07-22
"Open Journal of Cell Biology",2165-3895,2165-3909,1018,2013-11-15
"Open Journal of Cloud Computing",,2199-1987,1852,2014-05-22
"Open Journal of Databases",,2199-3459,1852,2014-05-30
"Open Journal of Depression",2169-9658,2169-9674,1018,2013-11-15
"Open Journal of Discrete Mathematics",2161-7635,2161-7643,1018,2013-11-15
"Open Journal of Earthquake Research",2169-9623,2169-9631,1018,2013-11-15
"Open Journal of Ecology",2162-1985,2162-1993,1018,2013-11-15
"Open Journal of Energy Efficiency",2169-2637,2169-2645,1018,2013-11-15
"Open Journal of Fluid Dynamics",2165-3852,2165-3860,1018,2013-11-15
"Open Journal of Geology",2161-7570,2161-7589,1018,2013-11-15
"Open Journal of Information Systems",,2198-9281,1852,2014-05-22
"Open Journal of Inorganic Chemistry",2161-7406,2161-7414,1018,2013-11-15
"Open Journal of Leadership",2167-7743,2167-7751,1018,2013-11-15
"Open Journal of Marine Science",2161-7384,2161-7392,1018,2013-11-15
"Open Journal of Medical Microbiology",2165-3372,2165-3380,1018,2013-11-15
"Open Journal of Medical Psychology",2165-9370,2165-9389,1018,2013-11-15
"Open Journal of Obstetrics and Gynecology",2160-8792,2160-8806,1018,2013-11-15
"Open Journal of Optimization",2325-7105,2325-7091,1018,2013-11-15
"Open Journal of Pediatrics",2160-8741,2160-8776,1018,2013-11-15
"Open Journal of Preventive Medicine",2162-2477,2162-2485,1018,2013-11-15
"Open Journal of Psychiatry",2161-7325,2161-7333,1018,2013-11-15
"Open Journal of Regenerative Medicine",2169-2513,2169-2521,1018,2013-11-15
"Open Journal of Semantic Web",,2199-336X,1852,2014-05-22
"Open Journal of Statistics",2161-718X,2161-7198,1018,2013-11-15
"Open Journal of Stomatology",2160-8709,2160-8717,1018,2013-11-15
"Open Journal of Synthesis Theory and Applications",2169-2521,2168-1252,1018,2013-11-15
"Open Journal of Veterinary Medicine",2165-3356,2165-3364,1018,2013-11-15
"Open Journal of Web Technologies",,2199-188X,1852,2014-05-22
"Open Law Journal",,1874-950X,1419,2013-01-30
"Open Learning: The Journal of Open and Distance Learning",0268-0513,1469-9958,1140,2014-03-26
"Open Leukemia Journal",,1876-8164,1419,2013-01-30
"Open Linguistics",,2300-9969,1851,2014-05-23
"Open Longevity Science",,1876-326X,1419,2013-01-28
"Open Lung Cancer Journal",,1876-8199,1419,2013-01-30
"Open Macromolecules Journal",,1874-3439,1419,2013-01-30
"Open Magnetic Resonance Journal",,1874-7698,1419,2013-01-30
"Open Management Journal",,1874-9488,1419,2013-01-30
"Open Marine Biology Journal",,1874-4508,1419,2013-01-30
"Open Materials Science Journal",,1874-088X,1419,2013-01-30
"Open Mathematics Journal",,1874-1177,1419,2013-01-30
"Open Mechanical Engineering Journal",,1874-155X,1419,2013-01-30
"Open Mechanics Journal",,1874-1584,1419,2013-01-30
"Open Medical Devices Journal",,1875-1814,1419,2013-01-30
"Open Medical Education Journal",,1876-519X,1419,2013-01-30
"Open Medical Imaging Journal",,1874-3471,1419,2013-01-30
"Open Mineral Processing Journal",,1874-8414,1419,2013-01-30
"Open Nuclear and Particle Physics Journal",,1874-415X,1419,2013-07-09
"Open Occupational Health and Safety Journal",,1876-2166,1419,2013-07-09
"Open Pharmacoeconomics & Health Economics Journal",,1876-8245,1419,2013-07-11
"Open Philosophy Journal",,1878-447X,1419,2013-07-11
"Open Praxis",,2304-070X,1421,2013-10-11
"Open Process Chemistry Journal",,1875-1806,1419,2013-07-11
"Open Quaternary",,2055-298X,1132,2014-09-26
"Open Reconstructive and Cosmetic Surgery",,1876-9764,1419,2013-01-28
"Open Remote Sensing Journal",,1875-4139,1419,2013-07-11
"Open Stem Cell Journal",,1876-8938,1419,2013-07-29
"Open Structural Biology Journal",,1874-1991,1419,2013-07-29
"Open Superconductors Journal",,1876-5378,1419,2013-07-29
"Open Surface Science Journal",,1876-5319,1419,2013-07-29
"Open Systems and Information Dynamics",1230-1612,1793-7191,155,2014-10-29
"Open Systems Biology Journal",,1876-3928,1419,2013-07-29
"Open Theology",,2300-6579,1851,2014-05-23
"Open Translational Medicine Journal",,1876-3995,1419,2013-10-02
"Open Urban Studies Journal",,1874-9429,1419,2013-10-02
"Open Veterinary Science Journal",,1874-3188,1419,2013-10-02
"Open Virtual Reality Journal",,1875-323X,1419,2013-07-29
"OPERA",1657-8651,2346-2159,1597,2014-07-25
"Opera Quarterly",0736-0053,1476-2870,1617,2013-08-14
"Operational Research, An International Journal",1109-2858,1866-1505,74,2014-09-24
"Operations Management Research",1936-9735,1936-9743,74,2014-09-24
"Operations Research",0030-364X,1526-5463,134,2014-08-22
"Operations Research and Fuzziology",2163-1476,2163-1530,1326,2012-09-04
"Operations Research for Health Care",2211-6923,,30,2014-05-16
"Operations Research Letters",0167-6377,,30,2014-05-16
"Operative Orthopädie und Traumatologie",0934-6694,1439-0981,74,2014-09-24
"Operative Techniques in General Surgery",1524-153X,,30,2014-05-16
"Operative Techniques in Orthopaedics",1048-6666,,985,2014-01-07
"Operative Techniques in Otolaryngology - Head and Neck Surgery",1043-1810,,985,2014-01-07
"Operative Techniques in Sports Medicine",1060-1872,,985,2014-01-07
"Operative Techniques in Thoracic and Cardiovascular Surgery",1522-2942,,985,2014-01-07
"Ophelia",0078-5326,,76,2014-03-26
"Ophthalmic and Physiological Optics",0275-5408,1475-1313,580,2014-03-18
"Ophthalmic Epidemiology",0928-6586,1744-5086,348,2013-10-29
"Ophthalmic Genetics",1381-6810,1744-5094,348,2013-10-29
"Ophthalmic Plastic and Reconstructive Surgery",0740-9303,1537-2677,48,2013-10-23
"Ophthalmic Research",0030-3747,1423-0259,242,2013-08-08
"Ophthalmic Surgery, Lasers and Imaging",1542-8877,,799,2013-08-07
"Ophthalmologe",0941-293X,1433-0423,74,2014-09-10
"Ophthalmologica",0030-3755,1423-0267,242,2013-08-08
"Ophthalmologica Extra",,2296-1445,1601,2013-08-08
"Ophthalmology (Section 12 EMBASE)",0014-4169,,30,2014-05-16
"Ophthalmology and Eye Diseases",,1179-1721,163,2014-07-22
"Ophthalmology: Journal of The American Academy of Ophthalmology",0161-6420,,30,2014-05-16
"OPSEARCH",0030-3887,0975-0320,74,2014-09-24
"Optical and Quantum Electronics",0306-8919,1572-817X,74,2014-09-25
"Optical Data Processing and Storage",,2084-8862,1851,2014-05-23
"Optical Engineering",0091-3286,1560-2303,127,2012-10-03
"Optical Fiber Technology",1068-5200,,30,2014-05-16
"Optical Materials",0925-3467,,30,2014-05-16
"Optical Materials Express",,2159-3930,108,2014-09-08
"Optical Memory and Neural Networks",1060-992X,1934-7898,141,2014-07-03
"Optical Memory & Neural Networks (Information Optics)",1060-992X,1934-7898,141,2010-09-23
"Optical Nanoscopy",2192-2853,2192-2853,948,2013-03-07
"Optical Networks Magazine",1388-6916,1572-8161,74,2014-05-16
"Optical Review",1340-6000,1349-9432,74,2014-07-03
"Optical Switching and Networking",1573-4277,,30,2014-05-16
"Opticon1826",,2049-8128,1132,2014-09-26
"Optics",,2304-6732,487,2013-06-21
"Optics and Laser Technology",0030-3992,,30,2014-05-16
"Optics and Lasers in Engineering",0143-8166,,30,2014-05-16
"Optics and Photonics Journal",2160-8881,2160-889X,1018,2013-11-15
"Optics and Photonics Letters",1793-5288,1793-7140,155,2014-10-29
"Optics and Spectroscopy",0030-4034,1562-6911,141,2014-07-03
"Optics Communications",0030-4018,,30,2014-05-16
"Optics Express",1094-4087,,108,2014-09-08
"Optics Letters",0146-9592,1539-4794,108,2014-09-08
"Optik",0030-4026,,30,2014-05-16
"Optik and Photonik",1863-1460,2191-1975,1554,2013-07-30
"Optika Atmosfery i Okeana",1024-8560,2070-0393,141,2012-07-24
"Optika i Spektroskopiya",0030-4034,,141,2010-08-03
"Optimal Control Applications and Methods",0143-2087,1099-1514,2050,2014-08-28
"Optimization",0233-1934,1029-4945,1141,2014-03-26
"Optimization and Engineering",1389-4420,1573-2924,74,2014-09-25
"Optimization Letters",1862-4472,1862-4480,74,2014-09-25
"Optimization Methods and Software",1055-6788,1029-4937,1141,2014-03-26
"Option/Bio",0992-5945,,265,2011-05-10
"Opto-Electronics Review",1230-3402,1896-3757,74,2014-09-25
"Optoelectronics",2164-5450,2164-5469,1326,2012-09-04
"Optoelectronics, Instrumentation and Data Processing",8756-6990,1934-7944,141,2010-09-23
"Optoelectronics Letters",1673-1905,1993-5013,74,2014-07-03
"Optofluidics, Microfluidics and Nanofluidics",,2300-7435,1851,2014-05-27
"Optogenetics",,2299-3967,1851,2014-05-27
"Optometry and Vision Science",1040-5488,1538-9235,48,2013-10-23
"Optometry - Journal of the American Optometric Association",1529-1839,,30,2014-05-16
"Optometry Reports",,2039-473X,644,2013-09-09
"Opuscula Zoologica",0237-5419,2063-1588,1214,2012-04-16
"OR Insight",0953-5543,1759-0477,210,2013-07-29
"OR Spectrum",0171-6468,1436-6304,74,2014-09-25
"Oral and Maxillofacial Pathology Journal",,0976-1225,1314,2012-08-28
"Oral and Maxillofacial Surgery",1865-1550,1865-1569,74,2014-09-25
"Oral and Maxillofacial Surgery Clinics of North America",1042-3699,,985,2014-01-07
"Oral Biosciences and Medicine",1742-3287,,431,2010-08-17
"Oral Diseases",1354-523X,1601-0825,2050,2014-08-28
"Oral Health and Preventive Dentistry",1602-1622,1757-9996,431,2010-08-17
"Oral History Forum d'Histoire Orale",1482-5872,1923-0567,680,2011-09-08
"Oral History Review",0094-0798,1533-8592,1111,2011-11-16
"Oral Oncology",1368-8375,,30,2014-05-16
"Oral Radiology",0911-6028,1613-9674,74,2014-09-25
"Oral Science International",1348-8643,,30,2014-05-16
"Oral Surgery",1752-2471,1752-248X,2050,2014-08-28
"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology",2212-4403,,30,2014-05-16
"Oral Surgery, Oral Medicine, Oral Pathology, Oral Radiology and Endodontology",1079-2104,,30,2014-05-16
"Orbis",0030-4387,,30,2014-05-16
"Orbis Litterarum",0105-7510,1600-0730,2052,2014-08-28
"Orbis Tertius",1851-7811,,2051,2014-08-11
"Orbit",0167-6830,1744-5108,348,2013-10-29
"Orbit: Writing Around Pynchon",,2047-2870,1741,2013-12-12
"Orbital",,1984-6428,673,2010-08-24
"Orchid Science and Biotechnology",1752-3443,,480,2014-09-16
"Order",0167-8094,1572-9273,74,2014-09-25
"Ordines Militares. Colloquia Torunensia Historica",,0867-2008,1963,2014-06-10
"ORDO",0048-2129,,268,2010-09-23
"Ore Geology Reviews",0169-1368,,30,2014-05-16
"Organelles Proteomics",,2084-722X,1851,2014-05-27
"Organic Agriculture",1879-4238,1879-4246,74,2014-09-25
"Organic and Biomolecular Chemistry",1477-0520,1477-0539,63,2013-03-21
"Organic and Medicinal Chemistry Letters",,2191-2858,948,2013-03-07
"Organic Chemistry: Current Research",,2161-0401,672,2014-10-02
"Organic Chemistry Insights",,1178-6396,163,2014-07-22
"Organic Chemistry International",2090-200X,2090-2018,100,2013-03-20
"Organic Electronics",1566-1199,,30,2014-05-16
"Organic Geochemistry",0146-6380,,30,2014-05-16
"Organic Letters",1523-7060,1523-7052,4,2014-08-07
"Organic Photonics and Photovoltaics",,2299-3177,1851,2014-05-27
"Organic Preparations and Procedures International: The New Journal for Organic Synthesis",0030-4948,1945-5453,1141,2014-03-26
"Organic Process Research and Development",1083-6160,1520-586X,4,2014-08-07
"Organisational Project Management",,2203-6156,1946,2014-07-31
"Organisationsberatung, Supervision, Coaching",1618-808X,1862-2577,74,2014-07-03
"Organised Sound",1355-7718,1469-8153,2128,2014-10-07
"Organisms Diversity and Evolution",1439-6092,1618-1077,74,2014-09-25
"Organizacija",,1581-1832,1851,2014-04-10
"Organization",1350-5084,1461-7323,65,2013-03-11
"Organization and Environment",1086-0266,1552-7417,65,2013-06-24
"Organization and Management",,2300-2530,1851,2014-04-10
"Organization Management Journal",,1541-6518,1140,2014-03-26
"Organization Science",1047-7039,1526-5455,134,2014-08-22
"Organization Studies",0170-8406,1741-3044,65,2013-03-11
"Organizational Analysis",1551-7470,,31,2014-08-28
"Organizational Behavior and Human Decision Processes",0749-5978,,30,2014-05-16
"Organizational Dynamics",0090-2616,,30,2014-05-16
"Organizational Psychology Review",2041-3866,2041-3874,65,2013-03-11
"Organizational Research Methods",1094-4281,1552-7425,65,2013-03-11
"Organogenesis",1547-6278,1555-8592,218,2013-09-09
"Organometallics",0276-7333,1520-6041,4,2014-08-07
"Oriens",0078-6527,1877-8372,154,2014-08-27
"Oriental Insects",0030-5316,2157-8745,1141,2014-03-26
"Oriental Pharmacy and Experimental Medicine",1598-2386,2211-1069,74,2014-10-29
"Orientalistische Literaturzeitung",0030-5383,,926,2013-10-29
"Orientations",0928-0189,,143,2010-07-20
"Oriente Moderno",0030-5472,2213-8617,154,2014-08-18
"Orientierungen zur Wirtschafts- und Gesellschaftspolitik",0724-5246,,268,2010-09-10
"Origins of Life and Evolution of Biospheres",0169-6149,1573-0875,74,2014-09-25
"ORiON",2224-0004,0259-191X,1969,2014-06-10
"Orizzonti, Rassegna di archeologia",1591-2787,1724-1936,774,2013-02-28
"ORL",0301-1569,1423-0275,242,2013-08-08
"Ornis Hungarica",,2061-9588,1851,2014-04-10
"Ornis Norvegica",1502-0878,,1065,2013-05-03
"Ornithologischer Beobachter",0030-5707,,699,2010-08-18
"Orphan Drugs: Research and Reviews",2230-6161,,407,2014-01-30
"Orphanet Journal of Rare Diseases",,1750-1172,22,2014-10-24
"Ortho Magazine",1262-4586,,265,2011-04-07
"Orthodontic Waves",1344-0241,,30,2014-05-16
"Orthodontics",,2160-3006,431,2012-03-29
"Orthodontics and Craniofacial Research",1601-6335,1601-6343,2050,2014-08-28
"Orthodontie Française",0078-6608,1954-3395,137,2013-02-27
"Orthopäde",0085-4530,1433-0431,74,2014-09-10
"Orthopädie Mitteilungen",1439-2542,1430-3388,257,2014-05-28
"Orthopädie und Unfallchirurgie up2date",1611-7859,,257,2014-05-28
"Orthopaedic Journal of Sports Medicine",,2325-9671,1402,2013-08-20
"Orthopaedic Nursing",0744-6020,1542-538X,48,2014-07-11
"Orthopaedic Surgery",1757-7853,1757-7861,2050,2014-08-28
"Orthopaedics and Trauma",1877-1327,,30,2014-05-16
"Orthopaedics and Traumatology: Surgery and Research",1877-0568,,265,2011-04-07
"Orthopedic Clinics of North America",0030-5898,,985,2014-01-07
"Orthopedic Research and Reviews",,1179-1462,407,2014-01-30
"Orthopedic Reviews",2035-8237,2035-8164,644,2013-08-07
"Orthopedic Surgery (Section 33 EMBASE)",0014-4371,,30,2014-05-16
"Orthopedic Trauma Directions",1612-8060,1612-8087,366,2014-05-28
"Orthopedics",0147-7447,1938-2367,799,2014-02-25
"Orthopedics and Traumatology",0941-2530,1617-3538,74,2014-05-16
"Orvosi Hetilap",1788-6139,1789-0403,365,2013-07-30
"Oryx",0030-6053,1365-3008,2127,2014-10-07
"Osiris",0369-7827,1933-8287,77,2014-02-24
"OSLIRetina",2325-8160,2325-8179,799,2013-08-07
"Osong Public Health and Research Perspectives",2210-9099,,30,2014-05-16
"Osservatorio del diritto civile e commerciale",2281-2628,,1205,2014-08-27
"Osteoarthritis and Cartilage",1063-4584,,30,2014-05-16
"Osteologie",1019-1291,,243,2013-03-20
"Osteologie Forum",0949-2690,,257,2014-05-28
"Osteology",1019-1291,,243,2013-03-20
"Osteopathic Family Physician",1877-573X,,30,2014-05-16
"Osteopathic Medicine and Primary Care",,1750-4732,22,2013-02-25
"Osteopathische Medizin",1615-9071,,30,2014-05-16
"Osteopatía Científica",1886-9297,,990,2013-10-21
"Osteoporosis International",0937-941X,1433-2965,74,2014-09-25
"Österreichische Wasser- und Abfallwirtschaft",0945-358X,1613-7566,74,2014-09-03
"Österreichische Zeitschrift für Soziologie",1011-0070,1862-2585,74,2014-05-16
"Ostrich: Journal of African Ornithology",0030-6525,1727-947X,1141,2014-09-15
"OTJR: Occupation, Participation and Health",1539-4492,1938-2383,799,2014-02-25
"Otolaryngologia Polska",0030-6657,,30,2014-05-16
"Otolaryngologic Clinics of North America",0030-6665,,985,2014-01-07
"Otolaryngology - Head and Neck Surgery",0194-5998,1097-6817,1581,2013-08-20
"Otolaryngology online journal",,2250-0359,1453,2013-03-07
"Otology and Neurotology",1531-7129,1537-4505,48,2013-10-23
"Otorhinolaryngology (Section 11 EMBASE)",0014-4150,,30,2014-05-16
"Oud Holland",0030-672X,1875-0176,154,2014-09-25
"Outcomes Management",1535-2765,,48,2014-02-18
"Outlook On Agriculture",0030-7270,2043-6866,384,2014-01-21
"Outlook on Developing Drugs",,2167-0714,672,2014-10-02
"Outlooks on Pest Management",1743-1026,1743-1034,967,2011-03-04
"Outra Travessia",,2176-8552,712,2014-08-27
"Ovarian Diseases",1873-894X,,44,2013-05-14
"Overheard in Seville: Bulletin of the Santayana Society",0846-8508,2153-7046,1000,2012-03-22
"Owl of Minerva",0030-7580,2153-3385,1000,2013-05-29
"Oxford Art Journal",0142-6540,1741-7287,1111,2011-11-16
"Oxford Bulletin of Economics and Statistics",0305-9049,1468-0084,2052,2014-08-28
"Oxford Development Studies",1360-0818,1469-9966,1140,2014-03-26
"Oxford Economic Papers",0030-7653,1464-3812,1483,2013-03-26
"Oxford German Studies",0078-7191,1745-9214,121,2014-01-22
"Oxford Journal of Archaeology",0262-5253,1468-0092,2052,2014-08-28
"Oxford Journal of Law and Religion",2047-0770,2047-0789,1481,2013-03-26
"Oxford Journal of Legal Studies",0143-6503,1464-3820,1483,2013-03-26
"Oxford Literary Review",0305-1498,1757-1634,266,2014-06-16
"Oxford Review of Economic Policy",0266-903X,1460-2121,1480,2013-03-26
"Oxford Review of Education",0305-4985,1465-3915,1140,2014-03-26
"Oxford University Commonwealth Law Journal",,1757-8469,1286,2012-07-17
"Oxidation of Metals",0030-770X,1573-4889,74,2014-09-25
"Oxidative Medicine and Cellular Longevity",1942-0900,1942-0994,100,2014-09-03
"Oxonomics",1752-5195,1752-5209,1499,2014-03-18
"Oxymag",0990-1310,,265,2011-04-07
"Ozone: Science and Engineering",0191-9512,1547-6545,1141,2014-03-26
"p-Adic Numbers, Ultrametric Analysis and Applications",2070-0466,2070-0474,141,2014-07-03
"P2: Pollution Prevention Review",1079-0276,1520-6815,1499,2014-06-24
"Pacific Accounting Review",0114-0582,,31,2014-09-16
"Pacific Affairs",0030-851X,1715-3379,1641,2013-12-13
"Pacific-Basin Finance Journal",0927-538X,,30,2014-05-16
"Pacific Economic Review",1361-374X,1468-0106,2052,2014-08-28
"Pacific Focus",1225-4657,1976-5118,2052,2014-08-28
"Pacific Historical Review",0030-8684,1533-8584,107,2013-11-27
"Pacific Journal of Applied Mathematics",,1941-3963,1800,2014-03-06
"Pacific Journal of Mathematics",,0030-8730,1758,2014-01-03
"Pacific Journalism Review",,1023-9499,222,2010-09-07
"Pacific Philosophical Quarterly",0279-0750,1468-0114,580,2014-03-18
"Pacific Review",0951-2748,1470-1332,1140,2014-03-26
"Pacific Science",0030-8870,1534-6188,136,2014-01-14
"Pacific Tourism Review",1088-4157,,771,2011-09-30
"Pacifica",1030-570X,1839-2598,65,2013-06-19
"Pacing and Clinical Electrophysiology",0147-8389,1540-8159,2050,2014-08-28
"Packaging Professional",1477-8467,,121,2014-01-22
"Packaging Technology and Science",0894-3214,1099-1522,2050,2014-08-28
"Packaging, Transport, Storage and Security of Radioactive Material",1746-5095,1746-5109,121,2014-01-22
"Packingtown Review",1946-0570,,292,2014-06-10
"Pädagogische Umschau",0033-9571,1724-1871,774,2013-02-28
"Paddy and Water Environment",1611-2490,1611-2504,74,2014-09-25
"Pädiatrie und Pädologie",0030-9338,1613-7558,74,2014-07-03
"Pädiatrie up2date",1611-6445,,257,2014-05-28
"PADUA",1861-6186,2235-218X,257,2014-08-27
"PADUA - Fachzeitschrift für Pflegepädagogik",1861-6186,,257,2014-05-28
"Padusa, Bollettino del Centro Polesano",0393-0149,1724-0573,774,2013-02-28
"Paedagogia Christiana",,1505-6872,1963,2014-06-10
"Paedagogica Historica",0030-9230,1477-674X,1140,2014-03-26
"Paediatric and Perinatal Epidemiology",0269-5022,1365-3016,2050,2014-08-28
"Paediatric Nursing",0962-9513,,256,2014-04-08
"Paediatric Respiratory Reviews",1526-0542,,30,2014-05-16
"Paediatrics and Child Health",1205-7088,,636,2012-12-11
"Paediatrics and International Child Health",2046-9047,2046-9055,121,2014-01-22
"Páginas a&b",0873-5670,,850,2012-03-05
"Páginas a&b: arquivos e bibliotecas",0873-5670,,850,2010-11-22
"PAIN",0304-3959,,30,2014-05-16
"Pain Clinic",0169-1112,,121,2014-01-22
"Pain Management",1758-1869,1758-1877,420,2013-09-12
"Pain Management Nursing",1524-9042,,985,2014-01-07
"Pain Medicine",1526-2375,1526-4637,580,2014-03-18
"Pain News",2050-4497,2050-4500,1626,2013-08-20
"Pain Practice",1530-7085,1533-2500,2050,2014-08-28
"Pain Research and Management",1203-6765,,636,2012-12-11
"Pain Research and Treatment",2090-1542,2090-1550,100,2013-03-20
"PAJ",1520-281X,1537-9477,1124,2013-05-23
"PAJ: A Journal of Performance and Art",1520-281X,1537-9477,1124,2013-05-23
"Pakistan Journal of Biological Sciences",1028-8880,1812-5735,945,2012-07-13
"Pakistan Journal of Food Sciences",1605-2552,2226-5899,1921,2014-05-15
"Pakistan Journal of Nutrition",1680-5194,1994-7984,945,2012-07-13
"PALA Papers",1871-1197,,143,2010-07-20
"Palabra Clave",1853-9912,,2051,2014-08-11
"Paladyn",2080-9778,2081-4836,74,2014-05-27
"Paladyn. Journal of Behavioral Robotics",2080-9778,2081-4836,74,2014-07-03
"Palaeobiodiversity and Palaeoenvironments",1867-1594,1867-1608,74,2014-09-25
"Palaeogeography, Palaeoclimatology, Palaeoecology",0031-0182,,30,2014-05-16
"Palaeontographica A",0375-0442,,749,2010-07-01
"Palaeontographica B",0375-0299,,749,2010-07-01
"Palaeontology",0031-0239,1475-4983,2050,2014-08-28
"Palaeoworld",1871-174X,,30,2014-05-16
"PALAIOS",0883-1351,,397,2013-10-18
"Paläontologische Zeitschrift",0031-0220,1867-6812,74,2014-09-25
"Palaver",,2280-4250,1363,2012-11-06
"Paleobiology",0094-8373,,1097,2014-06-13
"Paleoceanography",,1944-9186,6,2014-07-22
"Paleontological Journal",0031-031X,1555-6174,141,2014-07-03
"Paleontologicheskii Zhurnal",0031-0301,1555-6174,141,2014-07-03
"Palestine Exploration Quarterly",0031-0328,1743-1301,121,2014-01-22
"Palestine Yearbook of International Law Online",1386-1972,2211-6141,154,2014-08-18
"Palimpsestvs: Revista de la Facultad de Ciencias Humanas",1657-5083,,686,2013-05-31
"Palliative and Supportive Care",1478-9515,1478-9523,2127,2014-10-07
"Palliative Care: Research and Treatment",,1178-2242,163,2014-07-22
"Palliative Medicine",0269-2163,1477-030X,65,2013-03-11
"Pallium",1389-2630,1875-7049,1298,2014-10-10
"Palynology",0191-6122,1558-9188,1141,2014-03-26
"PAMM",,1617-7061,1554,2013-07-30
"Pan American Journal of Public Health",1020-4989,,342,2014-06-24
"Panacea Journal of Medical Sciences",2249-8176,2348-7682,2037,2014-08-08
"Pancreas",0885-3177,1536-4828,48,2013-10-23
"Pancreatology",1424-3903,1424-3911,242,2013-08-08
"Panorama",1909-7433,2145-308X,2076,2014-08-15
"Papéis Avulsos de Zoologia",0031-1049,1807-0205,917,2010-11-30
"Papel Alpha. Cuadernos de Fotografía",1136-4831,,1333,2012-09-12
"Papel Político",,2145-0617,1759,2014-01-03
"Papeles de Geografía",1132-1261,0213-1781,969,2011-05-25
"Papeles del CEIC",,1695-6494,1951,2014-06-04
"Papers from the Institute of Archaeology",,2041-9015,1132,2014-09-26
"Papers in Regional Science",1056-8190,1435-5957,580,2014-03-18
"Papers of the American Society of Church History",1079-9028,,1838,2014-04-29
"Papers of the British School at Rome",0068-2462,2045-239X,2130,2014-10-09
"Papers on Anthropology",1406-0140,1736-7646,1583,2013-09-24
"Papers on Global Change IGBP",,1730-802X,1851,2014-04-10
"Papyrologica Lupiensia",,1591-2221,1363,2012-11-06
"Paragrana",0938-0116,,926,2013-10-29
"Paragraph",0264-8334,1750-0176,266,2014-06-16
"Parallax",1353-4645,1460-700X,1140,2014-03-26
"Parallel and Distributed Computing and Networks",1925-5535,1925-5543,483,2012-02-15
"Parallel Computing",0167-8191,,30,2014-05-16
"Parallel Processing Letters",0129-6264,1793-642X,155,2014-10-29
"Parasite Immunology",0141-9838,1365-3024,2050,2014-08-28
"Parasites and Vectors",,1756-3305,22,2014-10-24
"Parasitology",0031-1820,1469-8161,2127,2014-10-07
"Parasitology International",1383-5769,,30,2014-05-16
"Parasitology Research",0932-0113,1432-1955,74,2014-09-25
"Paratesto",1824-6249,1825-9537,774,2013-02-28
